**********part$ 0010. 查询当前逻辑库所跳过同步的对象**********
**********Order by owner, name, statement_opt**********

ERROR|OWNER               | CT_NAME|NAME                                    |OBJECT_TYPE                             |STATEMENT_OPT                                               |US|ES|PROCEDURE
=====|====================|========|========================================|========================================|============================================================|==|==|==================================================
N    |ACCOUNTING          |       3|IDX_DEAL_EXT_INSTANCE_ID                |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |ACCOUNTING          |       3|PK_DEAL_EXT                             |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |ACCOUNTING          |       3|PK_T_BPS_REQUEST_LOG_ID                 |INDEX                                   |SCHEMA_DDL                                                  |Y |  |
N    |ANONYMOUS           |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |APPQOSSYS           |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |BGW                 |       6|BP_ACCTHISTRANSINFO                     |TABLE                                   |DML                                                         |Y |  |
N    |BGW                 |       6|BP_ACCTHISTRANSINFO                     |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |BGW                 |       6|BP_ACCTHISTRANSINFO_N                   |TABLE                                   |DML                                                         |N |  |
N    |BGW                 |       6|BP_ACCTHISTRANSINFO_N                   |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |BGW                 |       6|BP_BANKINSTRINFO                        |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |BGW                 |       6|IDX_BP_ACCHISTRANS_ACCOUNTID1           |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |BGW                 |       6|IDX_BP_ACCHISTRAN_AMOUNT1               |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |BGW                 |       6|UK_BP_ACCHISTRAN                        |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |BILL                |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |BILL                |       1|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |BILLQUERY           |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |CDCPUB              |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |CDCPUB              |       1|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |CDCSUB              |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |CDCSUB              |       1|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBACGZHANG          |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBACGZHANG          |       1|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBADAVID            |       1|SQL_PLAN_1215                           |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAFELIX            |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAFELIX            |       1|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAHUIFANG          |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAHUIFANG          |       1|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAJASON            |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAJASON            |       1|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAJIEBIN           |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAJIEBIN           |       1|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPANQIAN          |       1|%                                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPANQIAN          |       1|%                                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      34|DIFF_MEMBER_2015                        |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      34|DIFF_MEMBER_2015                        |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      34|DIFF_MEMBER_2016                        |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      34|DIFF_MEMBER_2016                        |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      34|DIFF_MEMBER_2017                        |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      34|DIFF_MEMBER_2017                        |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      34|DIFF_MEMBER_2018                        |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      34|DIFF_MEMBER_2018                        |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      34|DIFF_MEM_2015                           |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      34|DIFF_MEM_2015                           |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      34|DIFF_MEM_2016                           |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      34|DIFF_MEM_2016                           |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      34|DIFF_MEM_2017                           |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      34|DIFF_MEM_2017                           |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
