**********part$ 0010. 查询当前逻辑库所跳过同步的对象**********
**********Order by owner, name, statement_opt**********

ERROR|OWNER               | CT_NAME|NAME                                    |OBJECT_TYPE                             |STATEMENT_OPT                                               |US|ES|PROCEDURE
=====|====================|========|========================================|========================================|============================================================|==|==|==================================================
N    |ANONYMOUS           |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |APPQOSSYS           |       1|%                                       |NOT Existed in LDG!!                    |INTERNAL SCHEMA                                             |N |  |
N    |CPSTAIS             |       1|T_TXN_HISTORY                           |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |DBAHUIFANG          |       1|TB_PK                                   |TABLE                                   |DML                                                         |Y |  |
N    |DBAPETER            |      15|SESSION_0810                            |TABLE                                   |DML                                                         |Y |  |
N    |DBAPETER            |      15|SESSION_0810                            |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      15|T_FEE_CONTRACT                          |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      15|T_FEE_CONTRACT                          |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      15|T_FEE_CONTRACT_PARA                     |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      15|T_FEE_CONTRACT_PARA                     |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      15|T_MERCH_FIN_CTRL                        |TABLE                                   |DML                                                         |Y |  |
N    |DBAPETER            |      15|T_MERCH_FIN_CTRL                        |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL                              |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL                              |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL_TEMP                         |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL_TEMP                         |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL_TEMP01                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL_TEMP01                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL_TEMP02                       |TABLE                                   |DML                                                         |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL_TEMP02                       |TABLE                                   |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL_TEMP03                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL_TEMP03                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL_TEMP04                       |NOT Existed in LDG!!                    |DML                                                         |Y |  |
N    |DBAPETER            |      15|T_TXN_CTRL_TEMP04                       |NOT Existed in LDG!!                    |SCHEMA_DDL                                                  |Y |  |
